TIER,Alimento,Categoria,Proteine (g),Proteine (%),Grassi (g),Grassi (%),Carboidrati (g),Carboidrati (%),Fibre (g),Fibre (%),Omega-3 (ALA) (g),Omega-3 (ALA) (%),Omega-6 (g),Omega-6 (%),Calcio (g),Calcio (%),Ferro (g),Ferro (%),Magnesio (g),Magnesio (%),Potassio (g),Potassio (%),Zinco (g),Zinco (%),Vitamina A (g),Vitamina A (%),Vitamina C (g),Vitamina C (%),Vitamina D (g),Vitamina D (%),Vitamina E (g),Vitamina E (%),Vitamina K (g),Vitamina K (%),Vitamina B6 (g),Vitamina B6 (%),Folati (B9) (g),Folati (B9) (%),Vitamina B12 (g),Vitamina B12 (%)
,Lattuga iceberg,Verdura,0.9,0.018,0.1,0.0014285714285714,3.0,0.0115384615384615,1.2,0.04,4.7e-05,2.9375e-05,1.7e-05,1.7e-06,0.018,0.018,0.00041,0.0292857142857143,7e-06,1.86666666666667e-05,0.141,0.0402857142857143,1.5e-05,0.0015,2.5e-05,0.03125,0.0028,0.0373333333333333,0.0,0.0,0.00018,0.015,2.42e-05,0.322666666666667,4.2e-05,0.03,2.9e-05,0.145,0.0,0.0
,Cetrioli,Verdura,0.7,0.014,0.1,0.0014285714285714,3.6,0.0138461538461538,0.5,0.0166666666666667,5e-06,3.125e-06,2.4e-05,2.4e-06,0.016,0.016,0.00028,0.02,1.3e-05,3.46666666666667e-05,0.147,0.042,2e-05,0.002,5e-06,0.00625,0.0028,0.0373333333333333,0.0,0.0,3e-05,0.0025,1.64e-05,0.218666666666667,4e-05,0.0285714285714286,7e-06,0.035,0.0,0.0
,Sedano,Verdura,0.7,0.014,0.2,0.0028571428571428,3.0,0.0115384615384615,1.6,0.0533333333333333,2e-05,1.25e-05,7.9e-05,7.9e-06,0.04,0.04,0.0002,0.0142857142857143,1.1e-05,2.93333333333333e-05,0.26,0.0742857142857143,1.3e-05,0.0013,2.2e-05,0.0275,0.0031,0.0413333333333333,0.0,0.0,0.00027,0.0225,2.93e-05,0.390666666666667,7.4e-05,0.0528571428571429,3.6e-05,0.18,0.0,0.0
,Ravanelli,Verdura,0.7,0.014,0.1,0.0014285714285714,3.4,0.0130769230769231,1.6,0.0533333333333333,3.2e-05,2e-05,1.8e-05,1.8e-06,0.025,0.025,0.00034,0.0242857142857143,1e-05,2.66666666666667e-05,0.233,0.0665714285714286,2.8e-05,0.0028,0.0,0.0,0.015,0.2,0.0,0.0,0.0,0.0,1.3e-06,0.0173333333333333,7.1e-05,0.0507142857142857,2.5e-05,0.125,0.0,0.0
,Cetrioli sottaceto,Verdura,0.3,0.006,0.2,0.0028571428571428,2.3,0.0088461538461538,1.2,0.04,8e-06,5e-06,3.3e-05,3.3e-06,0.001,0.001,0.0004,0.0285714285714286,7e-06,1.86666666666667e-05,0.116,0.0331428571428572,2e-05,0.002,1e-05,0.0125,0.001,0.0133333333333333,0.0,0.0,3e-05,0.0025,4.69e-05,0.625333333333333,8e-06,0.0057142857142857,1e-06,0.005,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pomodoro,Verdura,0.9,0.018,0.2,0.0028571428571428,3.9,0.015,1.2,0.04,3e-06,1.875e-06,8e-05,8e-06,0.01,0.01,0.00027,0.0192857142857143,1.1e-05,2.93333333333333e-05,0.237,0.0677142857142857,1.7e-05,0.0017,4.2e-05,0.0525,0.014,0.186666666666667,0.0,0.0,0.00054,0.045,7.9e-06,0.105333333333333,8e-05,0.0571428571428572,1.5e-05,0.075,0.0,0.0
,Pomodori ciliegini,Verdura,0.9,0.018,0.1,0.0014285714285714,3.8,0.0146153846153846,1.2,0.04,3e-06,1.875e-06,7.9e-05,7.9e-06,0.011,0.011,0.00025,0.0178571428571429,1.1e-05,2.93333333333333e-05,0.237,0.0677142857142857,1.7e-05,0.0017,4.2e-05,0.0525,0.021,0.28,0.0,0.0,0.00054,0.045,7.9e-06,0.105333333333333,8e-05,0.0571428571428572,1.5e-05,0.075,0.0,0.0
,Zucchine,Verdura,1.2,0.024,0.3,0.0042857142857142,3.1,0.0119230769230769,1.0,0.0333333333333333,3.2e-05,2e-05,4.2e-05,4.2e-06,0.016,0.016,0.00037,0.0264285714285714,1.8e-05,4.8e-05,0.261,0.0745714285714286,3.2e-05,0.0032,1e-05,0.0125,0.018,0.24,0.0,0.0,0.00012,0.01,4.3e-06,0.0573333333333333,0.000163,0.116428571428571,2.4e-05,0.12,0.0,0.0
,Zucca,Verdura,1.0,0.02,0.1,0.0014285714285714,6.5,0.025,0.5,0.0166666666666667,3e-06,1.875e-06,2e-06,2e-07,0.021,0.021,0.0008,0.0571428571428571,1.2e-05,3.2e-05,0.34,0.0971428571428572,3.2e-05,0.0032,0.000426,0.5325,0.009,0.12,0.0,0.0,0.0011,0.0916666666666667,1.1e-06,0.0146666666666667,6.1e-05,0.0435714285714286,1.6e-05,0.08,0.0,0.0
,Funghi champignon,Verdura,3.1,0.062,0.3,0.0042857142857142,3.3,0.0126923076923077,1.0,0.0333333333333333,0.0,0.0,0.000139,1.39e-05,0.003,0.003,0.0005,0.0357142857142857,9e-06,2.4e-05,0.318,0.0908571428571429,5.2e-05,0.0052,0.0,0.0,0.002,0.0266666666666667,2e-07,0.0133333333333333,1e-05,0.0008333333333333,0.0,0.0,0.000104,0.0742857142857143,1.7e-05,0.085,4e-06,1.6
,Funghi porcini,Verdura,3.7,0.074,0.5,0.0071428571428571,3.0,0.0115384615384615,2.1,0.07,0.0,0.0,0.0,0.0,0.01,0.01,0.0008,0.0571428571428571,1.5e-05,4e-05,0.37,0.105714285714286,8e-05,0.008,0.0,0.0,0.003,0.04,3e-07,0.02,1e-05,0.0008333333333333,0.0,0.0,5.6e-05,0.04,4.4e-05,0.22,3e-06,1.2
,Finocchio,Verdura,1.2,0.024,0.2,0.0028571428571428,7.3,0.0280769230769231,3.1,0.103333333333333,0.0,0.0,0.0,0.0,0.049,0.049,0.00073,0.0521428571428571,1.7e-05,4.53333333333333e-05,0.414,0.118285714285714,2e-05,0.002,7e-06,0.00875,0.012,0.16,0.0,0.0,0.00058,0.0483333333333333,6.27e-05,0.836,4.7e-05,0.0335714285714286,2.7e-05,0.135,0.0,0.0
,Bietola,Verdura,1.8,0.036,0.2,0.0028571428571428,3.7,0.0142307692307692,1.6,0.0533333333333333,0.0,0.0,3e-05,3e-06,0.051,0.051,0.0018,0.128571428571429,8.1e-05,0.000216,0.379,0.108285714285714,3.6e-05,0.0036,0.000306,0.3825,0.03,0.4,0.0,0.0,0.0015,0.125,0.00083,11.0666666666667,9.9e-05,0.0707142857142857,1.4e-05,0.07,0.0,0.0
,Cime di rapa,Verdura,3.2,0.064,0.5,0.0071428571428571,4.4,0.0169230769230769,3.2,0.106666666666667,0.0001,6.25e-05,5e-05,5e-06,0.108,0.108,0.0022,0.157142857142857,2.2e-05,5.86666666666667e-05,0.196,0.056,3.8e-05,0.0038,0.000197,0.24625,0.021,0.28,0.0,0.0,0.0024,0.2,0.000224,2.98666666666667,0.000165,0.117857142857143,8.3e-05,0.415,0.0,0.0
,Cicoria,Verdura,1.7,0.034,0.3,0.0042857142857142,4.7,0.0180769230769231,4.0,0.133333333333333,0.0,0.0,0.0001,1e-05,0.1,0.1,0.0009,0.0642857142857143,3e-05,8e-05,0.42,0.12,4.2e-05,0.0042,0.000286,0.3575,0.024,0.32,0.0,0.0,0.0022,0.183333333333333,0.000298,3.97333333333333,0.000105,0.075,0.00011,0.55,0.0,0.0
,Radicchio,Verdura,1.4,0.028,0.3,0.0042857142857142,4.5,0.0173076923076923,0.9,0.03,0.0,0.0,0.0001,1e-05,0.019,0.019,0.00057,0.0407142857142857,1.3e-05,3.46666666666667e-05,0.302,0.0862857142857143,6.2e-05,0.0062,1e-06,0.00125,0.008,0.106666666666667,0.0,0.0,0.00026,0.0216666666666667,0.000255,3.4,5.7e-05,0.0407142857142857,6e-05,0.3,0.0,0.0
,Verza,Verdura,1.4,0.028,0.1,0.0014285714285714,6.1,0.0234615384615385,2.3,0.0766666666666667,5e-05,3.125e-05,2e-05,2e-06,0.035,0.035,0.0004,0.0285714285714286,1.2e-05,3.2e-05,0.17,0.0485714285714286,1.8e-05,0.0018,5e-05,0.0625,0.031,0.413333333333333,0.0,0.0,7e-05,0.0058333333333333,3.8e-05,0.506666666666667,0.00014,0.1,8e-05,0.4,0.0,0.0
